algorithm, solution, depth, cost, expanded_nodes, visited_nodes, average_branching_factor, execution_time, result, n
DFS, 'Frederickshire'->'LakeAshleytown'->'Taylorchester'->'Alyssaton'->'SouthChristopherborough'->'PortKeith'->'LakeEvanside'->'NewAnthony'->'Martinborough'->'SouthMargaret'->'SouthKathrynview'->'WestStephanieburgh'->'Barkerhaven'->'NewSteveville'->'Moodyport'->'Jessicaberg'->'Matthewhaven'->'EastBryanmouth'->'WestScottfurt'->'LakeWayne'->'Hunterfort'->'NorthAshleyshire'->'PortAnnside'->'Garnerberg', 23, 4497.810999999999, 31, 31, 3.4838709677419355, 0.0001909279999381397, success, 50
UCS, 'Frederickshire'->'Dicksonstad'->'WestShannon'->'WestLauraside'->'LakeElizabethhaven'->'WestRachelton'->'WestAndrew'->'NorthCatherine'->'Michaelton'->'WestJohn'->'Rioschester'->'LakeMichaelburgh'->'PortAnnside'->'Garnerberg', 13, 2274.1730000000002, 172, 50, 3.44, 0.001998259000174585, success, 50
Greedy, 'Frederickshire'->'LakeTina'->'Angelamouth'->'LakeElizabethhaven'->'WestRachelton'->'Moodyport'->'Jessicaberg'->'Garnerberg', 7, 2849.8199999999997, 7, 8, 5.0, 0.00018338399968342856, success, 50
Astar, 'Frederickshire'->'Dicksonstad'->'WestShannon'->'WestLauraside'->'LakeElizabethhaven'->'WestRachelton'->'WestAndrew'->'NorthCatherine'->'Michaelton'->'WestJohn'->'Rioschester'->'LakeMichaelburgh'->'PortAnnside'->'Garnerberg', 13, 2274.173, 35, 41, 1.8857142857142857, 0.00044790100037062075, success, 50
IDAstar, 'Frederickshire'->'Alyssaton'->'Dicksonstad'->'LakeTina'->'Angelamouth'->'LakeElizabethhaven'->'EastCalvinton'->'EastJoseph'->'SouthDouglas'->'WestRachelton'->'WestAndrew'->'NorthCatherine'->'Michaelton'->'PortDonnaport'->'Rioschester'->'LakeMichaelburgh'->'PortAnnside'->'Garnerberg', 17, 3332.844, 17, 19, 1.0, 0.01207041600082448, success, 50
Backtracking, 'EastLisa'->'PortAnthonymouth'->'Keithmouth'->'NorthJenniferland'->'Millsstad'->'Coltonhaven'->'Haasstad'->'PortGina'->'PortAdamchester'->'Shawnbury'->'EastPrestonport'->'NewJesse'->'Reedton'->'LakeHeidifurt'->'Brianton'->'Johnview'->'Julieton'->'LakeMariaborough'->'Weissport'->'PortGeorgechester'->'Benjaminshire'->'Stanleymouth'->'Hawkinschester'->'SouthRossfurt'->'LakeJames'->'LakeMichael', 25, 5962.580999999998, 35, 36, 1.0, 0.0003381139995326521, success, 50
BFS, 'EastLisa'->'PortAnthonymouth'->'NewMorgan'->'Brianton'->'LakeJames'->'LakeMichael', 5, 2359.5339999999997, 41, 50, 3.4878048780487805, 0.00019747100031963782, success, 50
DFS, 'EastLisa'->'PortGina'->'SouthMichael'->'EastSherryfort'->'Millsstad'->'NorthJenniferland'->'Keithmouth'->'PortAnthonymouth'->'NewMorgan'->'Brianton'->'LakeHeidifurt'->'Johnsonchester'->'Stanleymouth'->'SouthRossfurt'->'WestChristina'->'LakeJames'->'LakeMichael', 16, 5085.972999999999, 27, 24, 4.111111111111111, 0.00014495200048258994, success, 50
UCS, 'EastLisa'->'PortAnthonymouth'->'NewMorgan'->'Brianton'->'Joshuaview'->'EastKelseymouth'->'LakeMichael', 6, 1913.543, 172, 50, 3.44, 0.001776221999534755, success, 50
Greedy, 'EastLisa'->'PortGina'->'Haasstad'->'Coltonhaven'->'Millsstad'->'PortGeorgechester'->'Benjaminshire'->'WestChristina'->'LakeJames'->'LakeMichael', 9, 2622.7480000000005, 9, 10, 3.7777777777777777, 0.0001681160001680837, success, 50
Astar, 'EastLisa'->'PortAnthonymouth'->'NewMorgan'->'Brianton'->'Joshuaview'->'EastKelseymouth'->'LakeMichael', 6, 1913.5430000000001, 26, 42, 2.1538461538461537, 0.0003516289998515276, success, 50
IDAstar, 'EastLisa'->'PortAnthonymouth'->'NewMorgan'->'Brianton'->'Johnview'->'Ronaldmouth'->'Joshuaview'->'EastKelseymouth'->'LakeMichael', 8, 2108.498, 20, 29, 1.0, 0.00555690599958325, success, 50
Backtracking, 'SouthJonathanton'->'Daniellemouth'->'EastLaura'->'Joseland'->'Fowlerview'->'Andrefort'->'Christopherton'->'Jensenchester'->'SouthMartha'->'Zacharytown'->'Ericfurt'->'Jamesmouth'->'SouthLatoyabury'->'Erinfurt'->'Alanberg'->'EastChristianburgh'->'Alexanderborough'->'Amandafurt'->'WestJoy'->'SouthTinaton'->'Devinport', 20, 4752.485000000001, 42, 43, 1.0, 0.0005226110006333329, success, 50
BFS, 'SouthJonathanton'->'Ruizfurt'->'Richardschester'->'Joseland'->'Fowlerview'->'PortNicholashaven'->'WestJoy'->'SouthTinaton'->'Devinport', 8, 2501.3650000000007, 47, 49, 3.5319148936170213, 0.00023399899964715587, success, 50
DFS, 'SouthJonathanton'->'SouthJoseph'->'Ruizfurt'->'Daniellemouth'->'EastLaura'->'Joseland'->'Fowlerview'->'Jamesmouth'->'Ericfurt'->'SouthJerryport'->'NewJamesbury'->'NorthTraci'->'Lisaside'->'WestRandyport'->'PortNicholashaven'->'PortChristopherbury'->'PortAnthonychester'->'WestJoy'->'EastChristianburgh'->'Amandafurt'->'Alexanderborough'->'SouthTinaton'->'Devinport', 22, 4841.526, 39, 36, 3.6923076923076925, 0.00024347699945792556, success, 50
UCS, 'SouthJonathanton'->'SouthJoseph'->'Ruizfurt'->'Richardschester'->'Joseland'->'NorthTraci'->'Lisaside'->'WestRandyport'->'PortNicholashaven'->'WestJoy'->'SouthTinaton'->'Devinport', 11, 1996.7320000000002, 171, 49, 3.489795918367347, 0.0017435910003769095, success, 50
Greedy, 'SouthJonathanton'->'Daniellemouth'->'EastLaura'->'Lisaside'->'WestRandyport'->'PortNicholashaven'->'WestJoy'->'SouthTinaton'->'Devinport', 8, 2067.785, 8, 9, 4.125, 0.0001532969999971101, success, 50
Astar, 'SouthJonathanton'->'SouthJoseph'->'Ruizfurt'->'Richardschester'->'Joseland'->'NorthTraci'->'Lisaside'->'WestRandyport'->'PortNicholashaven'->'WestJoy'->'SouthTinaton'->'Devinport', 11, 1996.7320000000002, 27, 38, 2.185185185185185, 0.00034598899947013706, success, 50
